cluster_dim;cluster_centroids_lat;cluster_centroids_lon
0;48.781906;9.180209
1;48.687466;9.001805
2;49.00489;8.406402
3;49.374126;8.677441
4;49.86732;8.642905
5;50.138924;8.648485
6;50.02729;8.239984
7;48.466236;10.020649
8;47.91368;7.807503
9;47.70543;9.162569
10;47.389404;8.516966
11;48.319412;10.911544
12;48.14509;11.592764
13;49.035366;12.103967
14;49.801025;10.0220995
15;50.768986;7.1659975
16;50.950195;6.9520164
17;51.212944;6.7886324
18;51.43713;6.7349653
19;51.476074;7.0087557
20;51.469055;7.220829
21;50.8342;6.078122
22;51.509254;5.39201
23;51.58412;5.457238
24;51.961685;5.896166
25;52.05393;5.615755
26;52.123398;5.407364
27;52.089634;5.1717963
28;52.237133;5.992945
29;52.366425;4.826433
30;52.023922;4.6775265
31;52.04972;4.4429183
32;50.91879;5.3259325
33;50.893417;4.6930356
34;50.84927;4.3798723
35;51.21697;4.4465113
36;51.050377;3.7007027
37;50.96659;3.1793344
38;53.13528;6.5595455
39;52.768097;6.881825
40;53.185028;5.783222
41;51.9901;8.697264
42;52.363796;9.751233
43;52.271915;10.559866
44;49.540756;11.02879
45;51.356647;9.681009
46;53.29617;10.4015465
47;53.585632;10.030281
48;53.56468;9.953152
49;54.33469;10.125791
50;53.07948;8.7858305
51;53.1801;8.18958
52;49.35542;6.9042783
53;50.930344;11.187204
54;51.393208;12.2600355
55;50.773426;12.815615
56;51.042374;13.740071
57;48.281082;14.315685
58;52.49459;13.338306
59;52.518265;13.432519
60;47.064068;15.45016
61;48.17704;16.430222
62;45.440292;9.356502
63;44.829536;10.36723
64;44.532536;11.305833
65;45.505695;11.112956
66;45.568626;11.99144
67;48.79004;2.1530943
68;45.493637;5.47992
69;47.504795;19.092978
70;50.205048;18.958853
71;50.032314;19.975567
72;51.857998;19.599281
73;52.242054;20.94688
74;51.119038;17.046638
75;52.3802;16.913694
76;53.06896;18.225029
77;54.347458;18.571754
78;44.75434;20.37505
79;42.032978;21.445131
80;42.6701;23.289045
81;42.687027;23.339457
82;42.178867;24.739277
83;43.0972;27.79902
84;41.94208;12.640167
85;57.61385;12.259828
86;50.843327;0.19358286
87;51.487263;-0.19505106
88;53.30957;-1.5804602
89;51.418736;-2.4220703
90;48.097214;-2.1796622
91;43.277424;1.187516
92;56.94758;-2.4825475
93;59.45234;17.8098
94;49.81874;31.674456
95;45.45115;38.190075
96;55.784657;37.882744
