;cluster;Latitude;Longitude
0;0;48.804;9.233
1;0;48.778;9.131
2;-1;49.116;7.81
3;-1;52.506;4.7
4;29;52.536;13.43
5;-1;48.682;9.016
6;-1;48.874065;9.596336
7;8;51.526;6.682
8;29;52.53;13.39
9;36;54.35;18.532
10;-1;51.23;7.86
11;-1;46.67;14.26
12;-1;48.53;9.053
13;-1;42.734;24.252
14;6;48.002;7.838
15;28;51.066;13.768
16;24;48.822;11.854
17;-1;48.768;9.822
18;6;48.002;7.788
19;35;51.18;17.168
20;27;51.386;12.516
21;-1;42.662;23.278
22;-1;42.632;23.408
23;-1;48.794;8.956
24;-1;42.614;23.164
25;-1;42.686;23.166
26;-1;42.618793;23.169527
27;41;42.992;24.814
28;41;41.946247;25.537355
29;-1;42.616;23.35
30;-1;42.49;26.012
31;47;59.306;18.09
32;-1;55.492;13.506
33;-1;40.294;-3.754
34;47;59.458;17.814
35;-1;58.344;15.316
36;47;59.332;18.244
37;47;59.402;17.866
38;-1;57.654;12.044
39;-1;59.85;10.454
40;25;49.894;10.923
41;24;48.274;12.214
42;8;51.418;6.752
43;28;51.052;13.756
44;-1;49.632;8.346
45;24;48.108;11.448
46;26;53.092;8.8
47;24;48.212;11.256
48;0;48.835;9.221
49;23;53.594;9.952
50;14;51.908;4.494
51;14;52.018;4.726
52;17;50.924;4.396
53;14;52.008;4.708
54;16;50.85;4.598
55;48;55.74;37.662
56;5;47.404;8.502
57;7;51.038;6.992
58;7;51.038;7.012
59;-1;50.518;8.588
60;7;51.12;6.956
61;16;50.878;4.762
62;-1;47.946;2.532
63;5;47.876;8.346
64;-1;51.436;6.972
65;-1;42.664;23.364
66;35;51.126;16.968
67;-1;48.148;8.542
68;-1;48.426;13.344
69;-1;51.112;6.776
70;16;50.862;4.696
71;17;50.856;4.352
72;22;52.204;9.91
73;17;50.828;4.416
74;-1;50.732;10.174
75;27;51.332;12.336
76;-1;51.198;6.824
77;3;50.142;8.724
78;-1;51.432;6.972
79;-1;43.754;3.964
80;16;50.814;4.572
81;17;50.914;4.484
82;15;50.97;4.962
83;17;50.906;4.438
84;-1;53.112;7.356
85;33;48.55283;18.172869
86;29;52.505;13.418
87;25;49.44;11.102
88;7;50.932;6.96
89;34;50.074;19.92
90;-1;53.068;18.224
91;17;50.876;4.47
92;-1;47.78;9.606
93;2;49.487;8.47
94;16;50.874;4.854
95;15;50.864;5.176
96;35;50.956;17.276
97;7;50.952;6.93
98;-1;50.702;7.276
99;34;50.012;20.026
100;-1;49.406;19.484
101;0;48.83;9.114
102;21;51.96;8.542
103;17;51.014;4.294
104;17;50.832;4.248
105;17;50.804;4.284
106;16;50.874;4.762
107;-1;49.152;9.282
108;-1;47.754;9.566
109;4;47.694;9.442
110;-1;49.756;6.994
111;22;52.474;10.768
112;-1;42.706;23.282
113;17;50.91;4.192
